protein1,protein2,weight
NOTCH3,TACC3,0.908908908908909
BMP6,NBL1,0.908908908908909
APPL1,NTRK1,0.908908908908909
CLTC,NCALD,0.908908908908909
IL1RAP,IL36A,0.908908908908909
ACBD4,VAPA,0.908908908908909
CCNE1,MYC,0.908908908908909
INSL3,INSL4,0.908908908908909
AK4,TPK1,0.908908908908909
APRT,NT5C3B,0.908908908908909
ACSS2,ACYP1,0.908908908908909
B4GALT3,FUT5,0.908908908908909
AADAT,DLST,0.908908908908909
AKR1C4,UGT2A1,0.908908908908909
B3GNT4,B4GALT3,0.908908908908909
NME2,PKLR,0.908908908908909
FGF2,NTRK2,0.908908908908909
ABLIM3,RAC2,0.908908908908909
LEP,SOCS3,0.908908908908909
GTF2E1,MED4,0.908908908908909
AKR1C4,AKR1D1,0.908908908908909
APRT,PDE11A,0.908908908908909
IFNA1,IFNA14,0.908908908908909
NFKBIA,UBE2D4,0.908908908908909
IARS1,SARS1,0.908908908908909
LEP,PYY,0.908908908908909
CSNK1G2,PRKACA,0.908908908908909
PRX,SOX10,0.908908908908909
MFNG,RFNG,0.908908908908909
FZD1,WNT5B,0.908908908908909
GPHN,SUOX,0.908908908908909
PRKCB,SLC9A3R1,0.908908908908909
ADAMTS3,MMP13,0.908908908908909
FZD8,WNT10A,0.908908908908909
IL17RC,IL25,0.908908908908909
ACADVL,ECI2,0.908908908908909
NAMPT,NT5C2,0.908908908908909
CETN3,MAD1L1,0.908908908908909
GH2,GHRH,0.908908908908909
ADCYAP1,GHRH,0.908908908908909
DCTN2,HSP90AA1,0.908908908908909
CD27,CD38,0.908908908908909
FGF5,FLT4,0.908908908908909
ALDH3B1,CNDP2,0.908908908908909
DCTD,NT5C3B,0.908908908908909
CLEC4M,RHOA,0.908908908908909
IL6R,IL7,0.908908908908909
CKM,MYLPF,0.908908908908909
ATP1B1,MAPK3,0.908908908908909
CER1,WNT7A,0.908908908908909
GP6,SELP,0.908908908908909
ALDH7A1,CNDP2,0.908908908908909
DAO,GATM,0.908908908908909
OGT,PIK3R1,0.908908908908909
CTNNA2,YWHAZ,0.908908908908909
CYCS,SDHB,0.908908908908909
FYN,NCAM1,0.908908908908909
ARRB1,GNAQ,0.908908908908909
NT5C2,NUDT16,0.908908908908909
FZD4,GPC4,0.908908908908909
GGT5,TXNDC12,0.908908908908909
CHRD,NOG,0.908908908908909
GPX2,TXNDC12,0.908908908908909
ENPP3,NMNAT1,0.908908908908909
ELMO1,LYN,0.908908908908909
GBP1,GBP5,0.908908908908909
AKR1B1,GLA,0.908908908908909
PECAM1,SELP,0.908908908908909
CAMK1D,NOS3,0.908908908908909
CSNK1D,YWHAG,0.908908908908909
BCL2L1,CTSH,0.908908908908909
OSBP,PLEK,0.908908908908909
ENAH,ESRP1,0.908908908908909
GNAS,PLA2G4A,0.908908908908909
MAPK1,PCYT1A,0.908908908908909
APOD,LCN1,0.908908908908909
PSMC3IP,RAD51,0.908908908908909
COL6A5,GP6,0.908908908908909
KPNB1,RANGAP1,0.908908908908909
PPIE,SNIP1,0.908908908908909
ST3GAL1,ST3GAL2,0.908908908908909
ITGA2,PTPN6,0.908908908908909
ALDOB,PGAM2,0.908908908908909
NME4,NUDT2,0.908908908908909
ATP1B2,PRKG1,0.908908908908909
CHAC1,GSR,0.908908908908909
DUSP10,MAPK11,0.908908908908909
COPS7B,PLCG1,0.908908908908909
ACP5,ENPP3,0.908908908908909
NAMPT,NUDT12,0.908908908908909
ITGB6,TNR,0.908908908908909
NAPG,STX2,0.908908908908909
AURKB,TP53,0.908908908908909
NADK2,SIRT5,0.908908908908909
IFNGR2,UQCRB,0.908908908908909
CD27,CD5,0.908908908908909
ITGA2,PRKACA,0.908908908908909
TNFRSF10B,TP53,0.908908908908909
ERCC1,RAD51,0.908908908908909
CREB3L2,GSK3B,0.908908908908909
GP1BA,SELPLG,0.908908908908909
PRKCA,RRAS2,0.908908908908909
H2AZ1,POLR2E,0.908908908908909
PIP4K2A,SCIN,0.908908908908909
NFKB1,TNFAIP3,0.908908908908909
MAPK13,PGR,0.908908908908909
SNRPD2,TRA2B,0.908908908908909
CAT,SOD2,0.908908908908909
ATP5PF,COX6C,0.908908908908909
P4HA1,PYCR2,0.908908908908909
SF3B6,YBX1,0.908908908908909
MAPK9,PGR,0.908908908908909
B3GALT1,B3GALT2,0.908908908908909
NTRK2,TIAM1,0.908908908908909
ATG3,ATG4C,0.908908908908909
GMPR,PDE2A,0.908908908908909
P4HA2,PYCR2,0.908908908908909
CNTFR,IL6,0.908908908908909
RNF8,UBC,0.908908908908909
FLT1,HGF,0.908908908908909
PIAS4,RNF8,0.908908908908909
CASP3,VIM,0.908908908908909
BARD1,RNF8,0.908908908908909
ELK1,MAPK13,0.908908908908909
GDI2,RAB31,0.908908908908909
ITGB1,TNR,0.908908908908909
MPP5,UBE3A,0.908908908908909
GREM1,GREM2,0.908908908908909
HPD,IL4I1,0.907907907907908
MRPL14,MRPL28,0.907907907907908
THAP11,THAP4,0.907907907907908
PANK3,VNN2,0.907907907907908
ELL2,RTF1,0.907907907907908
ADSL,SHMT1,0.907907907907908
ATP6V1C1,CCDC115,0.907907907907908
EDF1,RPL30,0.907907907907908
PCLAF,RRM2,0.907907907907908
EGFR,EPS15L1,0.907907907907908
GMPR,PDE9A,0.907907907907908
MINPP1,PGAM2,0.907907907907908
ENO2,MINPP1,0.907907907907908
CXCL1,CXCL16,0.907907907907908
GAL,PDYN,0.907907907907908
RNF13,UBB,0.907907907907908
NDUFA2,PMPCA,0.907907907907908
DCK,PDE1B,0.907907907907908
CCL7,CXCL8,0.907907907907908
CSNK1A1L,PRKACA,0.907907907907908
NT5C3A,TYMP,0.907907907907908
TEC,VAV3,0.907907907907908
VAV1,VAV3,0.907907907907908
NT5C1A,TYMP,0.907907907907908
ARF3,ARFIP1,0.907907907907908
ENTPD5,IMPDH1,0.907907907907908
IL4I1,MAT2A,0.907907907907908
CCT7,PDCL,0.907907907907908
SUMO2,SUMO4,0.907907907907908
ERCC1,KDM1A,0.907907907907908
B3GNT6,GALNT16,0.907907907907908
GNAI1,HCK,0.907907907907908
ENO2,TALDO1,0.907907907907908
EHD1,PACSIN2,0.907907907907908
IFNA1,IL10RB,0.907907907907908
GRIK2,NETO1,0.907907907907908
ITGA6,ITGB5,0.907907907907908
CTPS1,ENPP3,0.907907907907908
ENTPD5,IMPDH2,0.907907907907908
ENPP3,PDE4C,0.907907907907908
DSG3,EVPL,0.907907907907908
ITGB5,VCL,0.907907907907908
APRT,PDE4C,0.907907907907908
GMPR,PDE3A,0.907907907907908
NHP2,RPS19,0.907907907907908
BAG2,BAG4,0.907907907907908
MAPK9,PCYT1A,0.907907907907908
GMPS,NT5C1A,0.907907907907908
NFKBIB,UBE2D4,0.907907907907908
FMOD,FN1,0.907907907907908
FAF2,SELENOS,0.907907907907908
DPYSL3,DPYSL5,0.907907907907908
CSF3R,EPO,0.907907907907908
AARS1,DARS2,0.907907907907908
SNRPC,U2AF2,0.907907907907908
EPO,HAMP,0.907907907907908
CRMP1,GNE,0.907907907907908
ENTPD6,IMPDH2,0.907907907907908
GSTA1,TXNDC12,0.907907907907908
BCL2,RRAS,0.907907907907908
CASP2,YWHAG,0.907907907907908
POLR2K,TCEA2,0.907907907907908
LIPG,LPL,0.907907907907908
B3GNT6,GALNT4,0.907907907907908
SOX2,TBX3,0.907907907907908
GP5,LYN,0.907907907907908
GZMB,IL2RB,0.907907907907908
ALDH7A1,CNDP1,0.907907907907908
GPX7,SOD2,0.907907907907908
LYZ,PRTN3,0.907907907907908
BDNF,IGF1R,0.907907907907908
ACADL,ECI2,0.907907907907908
ENPP3,PDE4A,0.907907907907908
KLHL7,SPOP,0.907907907907908
GSTA2,TXNDC12,0.907907907907908
SMNDC1,SNRPA1,0.907907907907908
PSMA5,PSME3,0.907907907907908
CD2AP,RAC3,0.907907907907908
DNMT3L,TRDMT1,0.907907907907908
CHAC1,CHAC2,0.907907907907908
CHST6,LUM,0.907907907907908
TLR3,TLR4,0.907907907907908
AK4,ENTPD2,0.907907907907908
CD2AP,HCLS1,0.907907907907908
MFN1,PHB2,0.907907907907908
CANT1,GMPS,0.907907907907908
RPL38,SEC61G,0.907907907907908
KIR3DL2,PTPN6,0.907907907907908
CDK2,MCM6,0.907907907907908
GIMAP4,GIMAP6,0.907907907907908
ATG7,TP53,0.907907907907908
NMNAT1,NT5C,0.907907907907908
BCL2,CTSF,0.907907907907908
CSF3R,STAT3,0.907907907907908
BID,CTSH,0.907907907907908
C19orf54,LSM1,0.907907907907908
NMNAT1,NT5C2,0.907907907907908
CBX1,EHMT2,0.907907907907908
IMPDH2,NT5C3B,0.907907907907908
COASY,COX19,0.907907907907908
MNAT1,PCNA,0.907907907907908
CFL2,RHOA,0.907907907907908
CTNNA2,YWHAG,0.907907907907908
GJA1,GJA8,0.907907907907908
CD63,SELP,0.907907907907908
ABL1,EPHB6,0.907907907907908
MED4,POLR2C,0.907907907907908
CXCL16,CXCL9,0.907907907907908
ATIC,ENTPD6,0.907907907907908
ACTN1,PIP4K2B,0.907907907907908
PSG1,PSG4,0.907907907907908
MRC2,PLA2R1,0.907907907907908
NTRK3,SORT1,0.907907907907908
AKR1B1,LCT,0.907907907907908
GOT1,NIT2,0.907907907907908
G6PD,GAPDHS,0.907907907907908
HMGN1,RPS7,0.907907907907908
ENTPD3,GUK1,0.907907907907908
EFNB2,EPHA7,0.907907907907908
GC,SLC25A18,0.907907907907908
NME4,NUDT16,0.907907907907908
ERCC4,KDM1A,0.907907907907908
LCN2,MMP2,0.907907907907908
PRL,STAT5B,0.907907907907908
B4GALT1,B4GALT2,0.907907907907908
CNTF,GH1,0.907907907907908
LDHC,TALDO1,0.907907907907908
CTLA4,TNFRSF4,0.907907907907908
CMIP,FLNA,0.907907907907908
EEF1D,RPS7,0.907907907907908
ALDH3B1,CNDP1,0.907907907907908
HIPK3,RASSF5,0.907907907907908
CCL4L1,IRF5,0.907907907907908
CD247,KLRB1,0.907907907907908
KLC3,MAPK9,0.907907907907908
CNTF,GH2,0.907907907907908
CCL1,CCL17,0.907907907907908
DCP1A,LSM1,0.907907907907908
MRAS,PRKCB,0.907907907907908
ADSS1,ENTPD1,0.907907907907908
IL10,IL22RA1,0.907907907907908
MAX,RBBP5,0.907907907907908
THBS1,VLDLR,0.907907907907908
CER1,WNT5B,0.907907907907908
AKT1S1,IGBP1,0.907907907907908
ALDH3A1,CNDP1,0.907907907907908
ALDH3A1,CNDP2,0.907907907907908
ITGAM,RGS14,0.907907907907908
CTLA4,HAVCR2,0.907907907907908
KCNN1,PRKCA,0.907907907907908
FGF9,SOX9,0.907907907907908
EPHA2,SHC1,0.907907907907908
APCS,CRP,0.907907907907908
S100A8,TLR4,0.907907907907908
APOC2,APOL1,0.907907907907908
CASP3,GSN,0.907907907907908
HSPA9,TLR1,0.907907907907908
DOK1,PTK6,0.907907907907908
TNFSF4,TNFSF9,0.907907907907908
INSR,OGT,0.907907907907908
GNG12,PAK3,0.907907907907908
PCK1,PPARG,0.907907907907908
CHAC2,GGT5,0.907907907907908
ENPP3,PDE4D,0.907907907907908
CD1D,CD207,0.907907907907908
EFNA3,EPHB6,0.907907907907908
AKR1B10,LCT,0.907907907907908
DCTPP1,NME7,0.907907907907908
CCDC97,SF3B6,0.907907907907908
ELK4,MAPK13,0.907907907907908
CDC42,MYL6,0.907907907907908
CEACAM8,ELANE,0.907907907907908
ATP1B2,ATP1B4,0.907907907907908
POLR2J,RPRD1B,0.907907907907908
FGR,SHC4,0.907907907907908
HRAS,RPS6KA6,0.907907907907908
DEFA5,DEFB4A,0.907907907907908
B3GNT4,FUT5,0.907907907907908
GRN,HSPG2,0.907907907907908
PKM,RRM2B,0.907907907907908
ETNK2,GPCPD1,0.907907907907908
ELMO1,FGR,0.907907907907908
IL10,STAT6,0.907907907907908
CMA1,KITLG,0.907907907907908
ITPA,PDE1A,0.907907907907908
ALDOB,PGAM4,0.907907907907908
CREB1,CRTC3,0.907907907907908
ATP1B4,PRKG1,0.907907907907908
BAIAP2,NCKIPSD,0.907907907907908
AP2B1,EHD2,0.907907907907908
GSTT2B,TXNDC12,0.907907907907908
FEN1,MCM6,0.907907907907908
PANK1,PANK3,0.907907907907908
NPPA,TSHR,0.907907907907908
PTK2,UNC5A,0.907907907907908
CCNH,TAF12,0.907907907907908
ACOT12,ALDH2,0.907907907907908
ELL3,RTF1,0.907907907907908
ARHGDIA,ARHGDIB,0.907907907907908
CCNA1,CCNE1,0.907907907907908
IL20RB,IL22,0.907907907907908
GSS,TXNDC12,0.907907907907908
CHAC1,LAP3,0.9069069069069068
ENPP3,NMRK1,0.9069069069069068
NRAS,RPS6KA6,0.9069069069069068
F8,SERPINC1,0.9069069069069068
DVL2,SENP2,0.9069069069069068
DCK,PDE1A,0.9069069069069068
ANAPC7,BARD1,0.9069069069069068
IL6,STAT6,0.9069069069069068
ELK4,MAPK11,0.9069069069069068
PRKCG,RRAS2,0.9069069069069068
ATF6B,CREM,0.9069069069069068
PFKFB3,PFKFB4,0.9069069069069068
LIMD1,XPO5,0.9069069069069068
RPS3,SRP14,0.9069069069069068
CDC25A,CUL1,0.9069069069069068
ACADS,ALDH2,0.9069069069069068
CHAC2,GPX7,0.9069069069069068
NTN4,UNC5A,0.9069069069069068
CD34,KDR,0.9069069069069068
EPOR,SOCS3,0.9069069069069068
CD1A,CD68,0.9069069069069068
BRMS1L,SUDS3,0.9069069069069068
PAX8,RXRA,0.9069069069069068
CKS1B,RPS27A,0.9069069069069068
RPS10,SEC61B,0.9069069069069068
CHAC2,PRDX6,0.9069069069069068
ACTN1,TTN,0.9069069069069068
GAB1,IL6R,0.9069069069069068
NT5C2,TYMP,0.9069069069069068
SFRP1,WNT16,0.9069069069069068
CD300C,MAP1LC3A,0.9069069069069068
ENPP3,PDE3A,0.9069069069069068
EFNB3,EPHA8,0.9069069069069068
PBRM1,SETD2,0.9069069069069068
FGF17,FGF23,0.9069069069069068
ALOX15B,CYP2C19,0.9069069069069068
IFIT2,IRF9,0.9069069069069068
MAN1A2,MAN1C1,0.9069069069069068
HSD17B10,RPP25,0.9069069069069068
DPP4,INS,0.9069069069069068
HSD17B10,RPP40,0.9069069069069068
CD69,CD80,0.9069069069069068
GDF2,TGFBR1,0.9069069069069068
HNRNPH1,PCBP1,0.9069069069069068
CREB3L2,PPARGC1A,0.9069069069069068
TCEA2,ZC3H8,0.9069069069069068
ACYP2,ALDH2,0.9069069069069068
DKK4,WNT3A,0.9069069069069068
CHAC2,LAP3,0.9069069069069068
OTUD5,UBB,0.9069069069069068
ACOX1,ALDH2,0.9069069069069068
KCTD17,KLHL13,0.9069069069069068
ENPP3,RFK,0.9069069069069068
HSPBP1,MRPL21,0.9069069069069068
COPS5,SMAD4,0.9069069069069068
HSPA6,MAPK9,0.9069069069069068
NCAM1,NCAM2,0.9069069069069068
GSK3B,PPP3R2,0.9069069069069068
FREM2,ITGB1,0.9069069069069068
RHOA,TIAM1,0.9069069069069068
HNRNPR,SMN1,0.9069069069069068
HSPA2,MAPK8,0.9069069069069068
KAT5,UCHL5,0.9069069069069068
EIF4G1,HSPB3,0.9069069069069068
FGFR2,HGF,0.9069069069069068
KREMEN2,LRP5,0.9069069069069068
HNRNPD,HNRNPR,0.9069069069069068
HSP90AA1,TCP1,0.9069069069069068
HSPA1L,MAPK9,0.9069069069069068
HMGN1,MRPL32,0.9069069069069068
CREB3L4,MAPK3,0.9069069069069068
CREB3L4,GSK3B,0.9069069069069068
ANAPC10,UBE2D1,0.9069069069069068
GCG,HTR6,0.9069069069069068
ME1,ME2,0.9069069069069068
GTF2B,MED28,0.9069069069069068
GUK1,PDE2A,0.9069069069069068
INPP5E,INPP5F,0.9069069069069068
ACOT12,ALDH7A1,0.9069069069069068
ALDOA,BPGM,0.9069069069069068
AARS1,HARS1,0.9069069069069068
ENTPD6,GMPR,0.9069069069069068
ENTPD2,NME4,0.9069069069069068
PPARA,SIRT1,0.9069069069069068
NT5C3B,TK2,0.9069069069069068
CNDP2,GATM,0.9069069069069068
ITGB6,TNXB,0.9069069069069068
AARS1,WARS1,0.9069069069069068
APOM,PON1,0.9069069069069068
CD69,IL2,0.9069069069069068
AOC3,COMT,0.9069069069069068
KPNA1,SOX2,0.9069069069069068
GCDH,UBE2E3,0.9069069069069068
GDF5,PAEP,0.9069069069069068
HCCS,HMOX1,0.9069069069069068
CD80,TIGIT,0.9069069069069068
GNAI1,MMP16,0.9069069069069068
MPI,TIGAR,0.9069069069069068
HAX1,HTRA2,0.9069069069069068
ADCYAP1,GNAS,0.9069069069069068
CHIA,CHIT1,0.9069069069069068
DLG4,LRRC4C,0.9069069069069068
KLHL41,SPOP,0.9069069069069068
DNAJB1,HSF1,0.9069069069069068
CRP,F2,0.9069069069069068
HPGDS,TXNDC12,0.9069069069069068
GUK1,PDE5A,0.9069069069069068
ATIC,NT5C3B,0.9069069069069068
ACTN1,PIP4K2A,0.9069069069069068
IKBKG,PYCARD,0.9069069069069068
RAET1G,RAET1L,0.9069069069069068
MRTO4,WDR18,0.9069069069069068
NADK2,SIRT1,0.9069069069069068
BCL2,BCL6,0.9069069069069068
ALPI,TPK1,0.9069069069069068
DNM1,MX1,0.9069069069069068
PRPF6,SNRPC,0.9069069069069068
EGLN3,PRKCA,0.9069069069069068
DCTPP1,NT5C3B,0.9069069069069068
LAG3,SNCA,0.9069069069069068
CRP,MBL2,0.9069069069069068
HIF1A,PTK6,0.9069069069069068
CBR3,PTGES2,0.9069069069069068
GUK1,PDE11A,0.9069069069069068
SGK1,SGK3,0.9069069069069068
GRN,TMEM106B,0.9069069069069068
GC,HP,0.9069069069069068
BMPR1B,LIMK1,0.9069069069069068
GNAI3,NOS3,0.9069069069069068
ABLIM3,RAC3,0.9069069069069068
GLUL,GMPS,0.9069069069069068
GSTO1,TXNDC12,0.9069069069069068
CAMK2A,FLNA,0.9069069069069068
LRRK2,YWHAG,0.9069069069069068
LINGO1,RHOA,0.9069069069069068
ASRGL1,IL4I1,0.9069069069069068
AK2,ENTPD2,0.9069069069069068
IMPDH2,NUDT16,0.9069069069069068
RPL5,SRP19,0.9069069069069068
GNAI1,NOS3,0.9069069069069068
CD2AP,KIRREL3,0.9069069069069068
KCTD13,KLHL3,0.9069069069069068
DAPP1,RAC3,0.9069069069069068
AP2A2,NCALD,0.9069069069069068
CSNK1A1L,GRK2,0.9069069069069068
MAPK9,PTPN7,0.9069069069069068
CANT1,IMPDH1,0.9069069069069068
EIF2AK4,IKBKG,0.9069069069069068
EIF2AK4,IKBKB,0.9069069069069068
CETN2,MAD2L1,0.9069069069069068
IL12RB1,IL2,0.9069069069069068
ADCYAP1,LHCGR,0.9069069069069068
CSNK2B,FUNDC1,0.9069069069069068
DCN,FGF5,0.905905905905906
ATP23,RAD23B,0.905905905905906
MRE11,TP53,0.905905905905906
ITGA11,ITGAL,0.905905905905906
AKR1B10,GLA,0.905905905905906
AFP,APOA2,0.905905905905906
KCTD17,KLHL41,0.905905905905906
FGF9,KLB,0.905905905905906
ERN1,RACK1,0.905905905905906
DCN,SPARC,0.905905905905906
EGLN1,PRKCB,0.905905905905906
ENPP3,UGP2,0.905905905905906
CD69,SELL,0.905905905905906
HSD17B10,RPP30,0.905905905905906
PDGFRB,PGF,0.905905905905906
POLE3,SGF29,0.905905905905906
STAU1,STAU2,0.905905905905906
ALKAL2,LTK,0.905905905905906
ACYP2,ALDH7A1,0.905905905905906
TSR2,TSR3,0.905905905905906
PPP3R2,TARDBP,0.905905905905906
ID2,OLIG1,0.905905905905906
LGALS3BP,LGALS7,0.905905905905906
NDUFAF1,NDUFAF5,0.905905905905906
LHCGR,VIP,0.905905905905906
FGF16,KLB,0.905905905905906
CANX,TOMM20,0.905905905905906
CETN2,MAD1L1,0.905905905905906
GJD2,MAPK3,0.905905905905906
NCF1,SRC,0.905905905905906
CD34,NT5E,0.905905905905906
MGA,RBBP5,0.905905905905906
MAG,SOX10,0.905905905905906
FZD8,WNT10B,0.905905905905906
ASH2L,MEF2D,0.905905905905906
SPOP,TNFAIP1,0.905905905905906
NTRK3,SHC2,0.905905905905906
PPP1CC,RASSF5,0.905905905905906
NXT1,NXT2,0.905905905905906
HSPA2,HSPH1,0.905905905905906
NAMPT,NT5M,0.905905905905906
PRL,STAT5A,0.905905905905906
EPHA6,RASA1,0.905905905905906
PTK2,UNC5D,0.905905905905906
HPRT1,PDE1B,0.905905905905906
B3GALT5,HEXB,0.905905905905906
ACYP1,ALDH7A1,0.905905905905906
DDX39B,SRSF7,0.905905905905906
CD4,GOLPH3,0.905905905905906
BLNK,ZAP70,0.905905905905906
ITPA,PDE9A,0.905905905905906
MSH2,ZSWIM7,0.905905905905906
DCK,PDE7A,0.905905905905906
AOC1,IL4I1,0.905905905905906
IL4I1,MAT2B,0.905905905905906
AIP,AIPL1,0.905905905905906
ALK,TPM3,0.905905905905906
CAMK2A,PLCG2,0.905905905905906
NT5C,QPRT,0.905905905905906
DSCC1,SMC3,0.905905905905906
MINPP1,PLCG1,0.905905905905906
UBC,UBE2G2,0.905905905905906
CREB3L1,CREM,0.905905905905906
CD38,PRKG1,0.905905905905906
ADGRL3,FLRT2,0.905905905905906
AKR1A1,KL,0.905905905905906
MRPL14,MRPL52,0.905905905905906
EIF4G1,TIAL1,0.905905905905906
ERAP2,TPP2,0.905905905905906
FZD1,ROR2,0.905905905905906
RAB4A,RAB5A,0.905905905905906
CHL1,HSPA8,0.905905905905906
VHL,WDR5,0.905905905905906
TAT,TDO2,0.905905905905906
MGAT4A,MGAT4B,0.905905905905906
PSMD10,PSMD5,0.905905905905906
ATP23,NHEJ1,0.905905905905906
BAP1,EED,0.905905905905906
GDI1,RAB31,0.905905905905906
CFD,RETN,0.905905905905906
MRRF,RPS14,0.905905905905906
EDF1,RPL38,0.905905905905906
CARS1,IARS1,0.905905905905906
ATP23,KDM1A,0.905905905905906
PLXNB2,PTN,0.905905905905906
CYREN,XRCC6,0.905905905905906
ANKRD45,HYOU1,0.905905905905906
ATP1B1,MAPK1,0.905905905905906
NT5M,UPRT,0.905905905905906
RRAS,RRAS2,0.905905905905906
HNRNPR,PCBP1,0.905905905905906
STX2,VAMP7,0.905905905905906
BID,CTSV,0.905905905905906
IL13,IL2RA,0.905905905905906
PGAM4,TALDO1,0.905905905905906
MAPRE1,TPM1,0.905905905905906
BTD,PC,0.905905905905906
F13B,FGB,0.905905905905906
LIPG,PNLIPRP1,0.905905905905906
CD58,ITGAL,0.905905905905906
CD247,MAP3K3,0.905905905905906
INHBC,TGFB1,0.905905905905906
ASIP,POMC,0.905905905905906
CCNH,MED28,0.905905905905906
CXCL12,CXCL5,0.905905905905906
BMP8B,NBL1,0.905905905905906
BNIP3,CD300C,0.905905905905906
BCL2L1,CTSF,0.905905905905906
HMGN1,MRPL21,0.905905905905906
HADH,SCP2,0.905905905905906
NTRK2,SH2B3,0.905905905905906
GMPR,NUDT16,0.905905905905906
PLCG2,PPP3R1,0.905905905905906
ASPA,ASRGL1,0.905905905905906
MYC,YEATS4,0.905905905905906
FGFR3,KLB,0.905905905905906
ENTPD2,PKM,0.905905905905906
ENTPD2,NME2,0.905905905905906
EGFR,NCL,0.905905905905906
NT5M,NUDT16,0.905905905905906
G6PD,PGM2,0.905905905905906
ILF2,YBX1,0.905905905905906
FLT3,PTPRJ,0.905905905905906
IRAK4,TLR3,0.905905905905906
GPD1L,KCNE3,0.905905905905906
CYTH3,CYTIP,0.905905905905906
BOLA2,GLRX5,0.905905905905906
CREB3L1,MAPK3,0.905905905905906
PLXNB2,RND3,0.905905905905906
VARS1,WARS2,0.905905905905906
NTRK1,SORT1,0.905905905905906
DCN,FGF17,0.905905905905906
PDPK1,PRKCQ,0.905905905905906
PNLIPRP1,PNPLA2,0.905905905905906
HNF4A,PA2G4,0.905905905905906
PPP2R5D,TNNI3,0.905905905905906
GGCT,LAP3,0.905905905905906
A2M,SERPING1,0.905905905905906
NR3C1,NTRK2,0.905905905905906
TARS1,VARS1,0.905905905905906
IL6,SAA1,0.905905905905906
ACE2,ITGB1,0.905905905905906
EIF4E,RPS6KB2,0.905905905905906
BCL2L1,BCL2L10,0.905905905905906
HSP90AA1,USP19,0.905905905905906
SEC61G,SSR1,0.905905905905906
FCAR,PIGR,0.905905905905906
METAP2,RPL5,0.905905905905906
NT5C3A,TK2,0.905905905905906
HSPA2,MAPK9,0.905905905905906
SNAP29,STX18,0.905905905905906
F3,SELP,0.905905905905906
CFI,CR1,0.905905905905906
REG1B,ZC3H12A,0.905905905905906
FGF20,KLB,0.905905905905906
PPP2R3A,TNNI3,0.905905905905906
CD27,CR2,0.905905905905906
IL2RA,IL9,0.905905905905906
F3,PROC,0.905905905905906
PPP1R1A,PPP3R2,0.905905905905906
NME1,NUDT16,0.905905905905906
CCT8,HSPA8,0.905905905905906
CDK2,E2F5,0.905905905905906
PTPN11,UNC5A,0.9049049049049048
CTSK,NFATC1,0.9049049049049048
ABO,FUT5,0.9049049049049048
FZD10,WNT3A,0.9049049049049048
CDH2,PCDH10,0.9049049049049048
CREB3L4,PPARGC1A,0.9049049049049048
DCC,PLCG1,0.9049049049049048
PLPP4,PNLIPRP1,0.9049049049049048
AGER,NRAS,0.9049049049049048
RBBP5,RUVBL1,0.9049049049049048
HTR6,NPPA,0.9049049049049048
FSHB,HTR6,0.9049049049049048
COL9A1,GP6,0.9049049049049048
HRAS,IL3RA,0.9049049049049048
DCTPP1,NT5C3A,0.9049049049049048
RPL30,SRP19,0.9049049049049048
MRPL21,SSBP1,0.9049049049049048
HSPA1L,MAPK8,0.9049049049049048
MYO6,UBB,0.9049049049049048
MARCKSL1,PRKCD,0.9049049049049048
DPP4,PLG,0.9049049049049048
DHX58,IRF3,0.9049049049049048
NLRP4,TBK1,0.9049049049049048
EPOR,LYN,0.9049049049049048
CSTB,CTSS,0.9049049049049048
ANAPC10,BARD1,0.9049049049049048
DCTPP1,NT5E,0.9049049049049048
APRT,PDE3A,0.9049049049049048
HDAC2,SPECC1,0.9049049049049048
FKBP5,SGK1,0.9049049049049048
IRF8,STAT1,0.9049049049049048
ANAPC7,BMI1,0.9049049049049048
GDI1,RAB5B,0.9049049049049048
CP,HEPH,0.9049049049049048
IDI1,IDI2,0.9049049049049048
KYAT1,TBC1D13,0.9049049049049048
TP53,TRIM28,0.9049049049049048
PSMB10,PSMD11,0.9049049049049048
ICOSLG,TNFSF4,0.9049049049049048
PLPP4,PNLIP,0.9049049049049048
ACHE,PHOSPHO1,0.9049049049049048
PSAP,PSAPL1,0.9049049049049048
NOTCH3,WWP2,0.9049049049049048
PDXK,PHOSPHO2,0.9049049049049048
MRPL33,POLR1C,0.9049049049049048
TSHR,VIP,0.9049049049049048
BHMT2,IL4I1,0.9049049049049048
GPX2,SOD2,0.9049049049049048
CREB3L1,GSK3B,0.9049049049049048
NRP1,VEGFC,0.9049049049049048
ESD,GLO1,0.9049049049049048
INHA,TGFBR3,0.9049049049049048
GNE,GPI,0.9049049049049048
ATF6B,XBP1,0.9049049049049048
ACTN2,TPM1,0.9049049049049048
INPP5F,PIK3C2A,0.9049049049049048
CHAC2,TXNDC12,0.9049049049049048
NLGN3,SHANK1,0.9049049049049048
IL2RB,RHOA,0.9049049049049048
MXI1,MYC,0.9049049049049048
INPP5F,MTMR1,0.9049049049049048
LAT2,SYK,0.9049049049049048
FGF5,PDGFRA,0.9049049049049048
RNF13,UBC,0.9049049049049048
HPRT1,PDE9A,0.9049049049049048
FMR1,TIAL1,0.9049049049049048
GSN,SCIN,0.9049049049049048
FGF10,PDGFRB,0.9049049049049048
CAMK2B,PLCG2,0.9049049049049048
GMPS,PDE6D,0.9049049049049048
EFNA4,EPHB6,0.9049049049049048
